Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
New Zealand,576290,551780,594940,584620,647070,774440,779380,833680,857850,963550,978140,953270,1018400,1246700,1297250,1283910,1362400,1375850,1414850,1477690,1543300,1627250,1675440,1728350,1793630,1832880,1871060,1887440,1934380,248350,171030,1107840,1717990,1910800
PNG,14770,16880,19220,21060,22120,24040,25400,24960,25030,23280,21140,16800,15390,14780,15590,19560,22580,28300,32450,35860,36920,43490,42760,42950,41340,40710,41040,38440,41740,5700,1090,18880,34900,42510
Solomon Islands,1950,2020,2130,2610,3120,3350,3700,3390,3590,4180,4220,3820,3850,4300,4420,5190,5480,6630,5710,6350,6490,6140,5870,6400,5720,6370,6410,6960,6860,900,390,4410,9130,10710
Vanuatu,1070,1420,1540,1830,2210,2140,2050,2200,2300,2780,2420,2530,2330,2810,3180,3140,3390,4020,4370,4230,4360,4280,4200,4010,3840,4660,5960,7610,9680,1870,960,6820,14290,13780
Kiribati,420,570,660,980,1260,1620,1700,1730,1640,1830,1550,2120,1690,2240,2090,1810,1480,1400,1460,1170,1210,1320,1150,1020,930,890,1180,1650,1850,230,150,1170,2220,2800
Marshall Is,50,30,60,60,70,30,70,60,80,100,80,100,90,70,170,130,100,160,160,120,120,180,120,200,110,100,100,100,110,0,0,60,200,210
"Micronesia, F S",110,150,130,160,230,150,130,170,160,290,220,300,280,280,260,280,340,310,300,210,280,330,220,250,270,130,190,190,180,10,0,70,200,260
Nauru,2670,2660,2990,2710,3020,2320,2800,2930,3420,3540,3000,2610,1700,1510,1180,1330,1760,1540,1560,1220,1530,2060,2750,5500,3510,3940,4260,4850,5130,750,110,3610,6380,7840
Palau,40,40,60,20,80,110,80,100,130,210,170,190,170,170,130,140,200,180,200,170,170,180,110,100,110,50,80,90,140,10,0,70,200,220
Fiji,22640,22060,22760,22370,22340,25020,24320,26180,29080,27310,29430,28980,31010,32760,34520,35010,31900,34970,37800,39210,38960,38480,39420,39530,39640,41670,45910,49150,50340,7730,1940,30480,55270,68540
Samoa,2350,2290,2470,2480,2810,3090,3180,3190,3310,3730,3470,2900,3100,3800,4100,4700,4220,5190,4790,5120,5260,5510,5230,5450,5420,5470,6250,7300,7610,1340,450,3640,7560,8900
Tonga,3670,4300,4370,4290,4330,4940,5060,5400,5130,5390,4870,5220,5890,6580,6280,6990,7510,9060,8730,10170,11910,10830,10220,10770,11240,12020,13850,15940,16640,1990,570,6480,14470,16890
Tuvalu,90,140,220,320,310,310,290,280,260,260,310,280,270,330,270,200,280,260,400,360,400,440,340,400,280,320,360,400,470,60,70,330,740,1120
"UK, CIs & IOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,23420,20990,21480,23490,27180,30910,35910,43330,52680,63400,67110,64830,69910,73550,81180,81480,88630,90280,90720,86500,97910,115450,126680,125890,117310,113840,111760,114500,115490,22370,6250,72460,110610,135290
Austria,13050,13530,16230,18320,19250,20230,21290,20510,21580,22620,22430,21600,21210,21680,21760,22000,21880,21510,21340,21920,20270,20430,21480,21900,22180,23720,24470,24620,24010,5150,680,10570,17930,19650
Belgium,4660,5170,5960,7040,7820,9400,10170,10340,11270,13310,12390,12500,11820,12550,13470,15020,16250,16470,17430,18710,18420,19160,20630,23000,22780,24550,25360,26360,26800,5630,960,11830,19450,21740
France,44120,48760,55640,61040,61100,65870,69560,77060,87520,99790,96260,97290,101080,107900,118940,127190,138370,156550,169080,177020,171790,169120,177850,196530,205020,215370,221240,231400,239220,52580,8180,104230,179450,195210
